Filename,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15,UMAP_16,UMAP_17,UMAP_18,UMAP_19
14-MFCC.csv,6.658734,6.925233,3.2225397,5.10104,5.3029404,2.8735445,8.191731,6.5490646,7.3475842,5.0121903,4.971741,7.775456,4.1287804,4.467806,2.052321,6.4431415,4.264681,4.779625,7.005917
15-MFCC.csv,6.382881,7.1520944,3.182856,5.2563276,5.5563674,2.7218404,8.116544,6.753367,7.0562224,4.991466,4.5997877,7.5066733,4.1847425,4.71705,2.11723,6.3192434,4.2583885,4.7175665,6.9331603
16-MFCC.csv,6.358031,6.7749724,2.6553593,5.1658607,5.3688235,3.5366068,7.137594,7.3612356,6.962632,6.116404,3.7080708,6.204843,4.108249,5.32646,2.1005862,5.191995,5.2615566,4.160165,6.1138935
17-MFCC.csv,6.366721,6.715979,2.6911094,5.1124983,5.3364005,3.5762591,7.101951,7.4107227,6.9269037,6.1963754,3.815756,6.1840405,4.1054025,5.2819605,2.1312985,5.1598034,5.3762794,4.097623,6.046274
18-MFCC.csv,5.5243,7.1134443,2.617316,5.0659857,5.9359665,4.0375524,6.4062886,6.9651184,6.350372,5.8559556,3.3351402,5.8209915,3.670986,5.0308266,2.4917648,5.699845,4.3678527,3.9803019,6.460085
19-MFCC.csv,6.583812,7.3144264,3.409959,5.3567777,5.6663127,2.516836,8.725861,6.867976,7.160438,4.7195044,4.810859,7.7376595,4.3148785,4.819621,1.9509057,6.359828,4.4139395,4.851975,6.798986
20-MFCC.csv,7.2911406,6.826428,3.3755863,5.399488,5.1725183,2.870801,8.833204,7.182993,7.5166807,5.076506,4.8226886,7.3466406,4.2362256,5.161796,1.7284117,6.2066636,4.5964985,4.631544,6.839461
21-MFCC.csv,6.404558,6.973281,3.1921282,5.0658994,5.41802,2.8931637,7.980177,6.579074,7.237107,5.2562,4.7830114,7.6478834,4.0698667,4.469011,2.1118085,6.170512,4.519492,4.752608,6.73406
22-MFCC.csv,6.4300575,7.1231627,3.1431558,5.072283,5.56165,2.7345624,8.166649,6.6497207,7.252632,4.8918223,4.772791,7.781249,4.1051087,4.5907397,1.9928397,6.264198,4.4266505,4.7497635,6.7746634
23-MFCC.csv,6.0260725,7.2053714,3.3291707,5.4562097,5.494961,2.844432,7.8191595,6.7542267,6.5888104,5.3574214,4.4341426,7.0423856,4.352021,4.68541,2.5397623,6.3891177,4.051815,4.802749,7.1835427
24-MFCC.csv,6.8539515,6.965243,3.9121993,5.340628,5.03517,2.3844287,9.057069,6.904805,7.138179,5.167809,5.2605453,7.823971,4.471235,4.748693,2.243304,6.5328827,4.2846184,5.1415524,7.1406026
25-MFCC.csv,6.50572,7.3831015,3.5043151,5.4735613,5.6679316,2.542003,8.515355,6.8032255,6.9877286,4.7834263,4.614173,7.4251456,4.27388,4.9106326,2.088611,6.4689116,4.144105,4.83552,6.9850082
26-MFCC.csv,5.5348043,7.244855,2.621377,5.1955957,6.0086727,3.867378,6.5604515,6.8410215,6.527337,5.640329,3.5123692,5.9525337,3.7257707,4.9135504,2.4633932,5.7739987,4.3561463,4.098148,6.5976176
27-MFCC.csv,6.522362,6.779984,2.7917273,5.268655,5.3744793,3.3240123,7.1200233,7.3023033,7.0885587,5.8007703,3.6439452,6.2562428,4.044588,5.2603955,1.914712,5.3419185,5.1569824,4.1789684,6.218685
