,Filename,Encoded_1,Encoded_2,Encoded_3,Encoded_4,Encoded_5,Encoded_6,Encoded_7,Encoded_8,Encoded_9,Encoded_10,cluster
83,67-MFCC.csv,29.824514,-9.174902,-0.5809314,10.166062,-17.595367,-2.1836588,4.728472,-20.911673,47.35469,4.6119814,5
84,68-MFCC.csv,2.654731,-2.607581,-3.7140374,12.593895,4.0635715,7.8654227,4.9339075,7.529416,-10.878576,-4.852178,2
85,69-MFCC.csv,-8.671517,-8.040478,-8.634732,8.0344095,-1.303924,10.369217,21.56074,-4.0006094,2.6925657,12.955071,4
86,70-MFCC.csv,-0.7716032,-18.235712,-7.441331,4.452667,9.562216,-0.043046065,12.053858,-0.14705224,-0.15743017,5.6337123,1
87,71-MFCC.csv,-5.8324924,-14.016405,-15.682535,26.518724,-0.65332466,9.157047,12.612663,12.117204,8.059906,0.17489375,4
88,72-MFCC.csv,19.062027,-13.133512,-12.365473,6.3591657,6.829694,-10.536437,7.558337,-5.0335836,-24.12505,-8.941968,3
89,73-MFCC.csv,-1.060878,-21.929363,-17.800537,5.757492,8.03225,0.03698504,10.580512,0.93136936,-10.804517,3.4335613,1
90,74-MFCC.csv,5.9826875,-17.84105,-4.299635,-11.206751,11.369429,7.674371,3.2532215,3.7757723,4.6294723,1.775217,1
91,75-MFCC.csv,22.900686,12.891659,15.765496,20.160404,-21.131569,-10.6821375,1.7461337,-8.300045,0.6892869,13.856574,0
92,76-MFCC.csv,3.0973663,-16.405645,0.09557926,9.383008,5.2234116,2.3454645,19.867659,3.1329956,-17.851154,-2.301013,1
93,77-MFCC.csv,10.961189,-19.863941,-14.374566,16.687471,12.868023,0.057323292,-7.16199,7.0906563,-19.153658,1.0740517,1
94,78-MFCC.csv,-6.1664286,-7.669004,1.5844492,-1.7908196,10.439381,7.4443526,28.22572,9.720957,-0.8516873,13.713933,4
95,79-MFCC.csv,-1.8903393,-22.68252,-11.716302,-4.6204467,23.754183,-6.46953,2.2181525,-0.030148314,-9.29632,-1.5183454,1
96,80-MFCC.csv,-1.026025,4.4307656,-6.36154,8.293105,-5.703711,-19.39361,-6.5289607,12.864141,2.232994,5.3974166,2
97,81-MFCC.csv,15.305625,-1.4549718,25.30271,-1.486102,-23.069336,-5.699818,14.836362,-4.1365557,14.814709,12.223116,3
98,82-MFCC.csv,16.004992,1.0577726,-1.2417375,2.3934524,-3.823963,-23.559502,-11.570186,12.78073,-4.6349516,11.343473,3
99,83-MFCC.csv,16.40813,0.08280375,4.911191,-5.093682,-13.530324,-20.380342,5.9154882,7.3540244,14.934311,2.7027829,3
100,84-MFCC.csv,4.366617,20.74813,0.5405336,-6.903905,-20.811956,-3.9917355,9.164289,17.11975,12.842814,13.479711,0
101,85-MFCC.csv,5.1726017,-15.039239,-4.49614,22.449472,11.528629,0.90453196,4.7481694,-2.3343356,-16.111746,-7.442369,1
102,86-MFCC.csv,-5.131308,-4.1220856,-0.4140833,0.8613852,1.9988245,13.088519,18.569386,4.5719786,2.4523308,3.589388,4
103,87-MFCC.csv,20.792074,12.211967,2.4227977,3.1255462,-29.4024,-7.9866443,17.493458,-13.40508,-5.016323,8.285766,0
104,88-MFCC.csv,6.487928,-4.515546,4.1256456,3.4821496,2.8251877,10.797468,15.029041,1.2457658,-12.157748,-12.557413,2
105,89-MFCC.csv,-1.7826236,-14.283454,2.2138143,6.0385256,3.4143472,2.891112,18.827574,-1.9640614,-12.902574,3.833919,1
