,Filename,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15,UMAP_16,cluster
50,34-MFCC.csv,7.812222,6.9398675,5.781516,5.611389,5.3744907,4.353435,3.811799,4.4106264,2.938999,4.792743,6.3106327,4.0909986,4.900587,5.6906576,4.5384564,4.362188,3
51,35-MFCC.csv,7.477334,6.523906,4.9970155,5.56714,5.767899,4.672267,4.692966,6.0185957,2.6816425,5.2041564,6.4427166,4.103402,4.279836,5.947061,4.684526,4.717598,0
52,36-MFCC.csv,8.438912,7.260379,5.981444,4.8798275,5.1157327,4.1981316,3.9138672,4.654525,3.2140431,4.6662006,6.2274895,4.3122826,5.3627667,6.1606164,4.7235103,4.227511,5
53,37-MFCC.csv,7.9544344,7.0844407,6.010924,5.4016886,5.1907606,4.2157774,3.8945467,4.454407,3.106831,4.669304,6.290895,4.115866,5.173517,5.87806,4.6189966,4.2678084,3
54,38-MFCC.csv,8.598461,7.348893,6.71219,4.9507556,4.964728,4.0684433,2.9925575,3.5333385,2.8382292,4.3721795,6.7839813,4.592818,6.4910116,5.8081427,4.3658123,3.8410811,4
55,39-MFCC.csv,8.611675,7.2329926,6.5713696,5.011738,4.897727,4.1991973,3.1704326,3.7984388,3.0396137,4.548175,6.6392574,4.483339,6.2582035,5.792945,4.385776,3.851286,4
56,40-MFCC.csv,8.761829,7.3646293,6.041724,4.596825,5.138113,4.1778865,3.7286818,4.581871,3.1057076,4.5409327,6.316195,4.4524155,5.655466,6.4073076,4.8225946,4.1882067,5
57,41-MFCC.csv,8.575908,7.278434,6.577268,5.0802536,4.722361,4.1263204,3.1047127,3.630486,3.0975375,4.592117,6.463575,4.556382,6.1621428,5.769631,4.326235,3.9637623,4
58,42-MFCC.csv,8.689591,7.3733845,6.4969974,4.868402,4.8890386,4.1653905,3.2860734,3.7170231,3.1307428,4.3847685,6.494919,4.6296067,6.1943917,5.998671,4.731285,3.9538684,4
59,43-MFCC.csv,8.3769245,7.1668353,6.4055777,5.1123796,4.779548,4.313522,3.2547188,3.927636,3.145599,4.7069397,6.57567,4.4544244,5.964239,5.6621866,4.295203,3.971286,4
60,44-MFCC.csv,7.8515863,6.929295,6.2258883,5.490926,5.909503,4.1829453,3.5724816,4.16549,2.5084379,4.101642,6.811707,4.119089,5.71296,6.0258408,5.062131,3.8688889,1
61,45-MFCC.csv,7.4511175,6.6139917,4.8204927,5.42781,5.815601,4.6997886,4.7574883,5.879508,2.7867959,5.0225453,6.3287745,3.966746,4.0613666,5.9910474,4.94997,4.6393127,0
62,46-MFCC.csv,7.9316006,6.8676195,4.7208524,4.433569,5.4232244,4.6222687,5.0509715,6.8822546,3.4164953,5.2614355,6.064415,4.077652,3.8556857,6.272187,4.976515,4.640399,2
63,47-MFCC.csv,7.862505,7.0488205,6.4462547,5.283053,5.213613,4.1334767,3.6088102,4.25349,2.9064145,4.2815413,6.6786647,4.221462,5.922783,5.920308,4.658727,3.822465,1
64,48-MFCC.csv,8.305519,7.2538867,6.165917,5.1752462,4.9188013,4.1234417,3.6328294,4.1563025,3.1965952,4.7495494,6.235062,4.284295,5.4549017,5.857052,4.455621,4.2400374,3
65,49-MFCC.csv,8.249661,7.089564,6.3747616,5.1790814,5.266557,4.2164764,3.3702092,4.004814,2.8422875,4.461126,6.69917,4.3354807,5.9824166,5.816965,4.596446,3.8617973,1
66,50-MFCC.csv,7.898517,6.8297024,4.635118,4.4225783,5.4655404,4.8634653,4.873,6.715735,3.3771636,5.1668606,5.9061956,4.0410657,3.9078743,6.3876843,4.8170066,4.81392,2
67,51-MFCC.csv,7.993377,6.8419957,4.44184,4.283524,5.522651,4.635241,5.3485928,7.327132,3.4691727,5.394727,6.0821376,4.1578712,3.4310632,6.3400993,5.2515397,4.6576896,2
68,52-MFCC.csv,8.233503,6.963937,6.55413,5.1964417,5.372093,4.1956635,3.7356794,4.5497704,2.9414384,4.357887,6.753029,4.1542387,6.111499,5.867162,4.593176,3.5957654,1
69,53-MFCC.csv,7.6578827,6.844796,5.949066,5.669771,5.688248,4.3513117,3.8317788,4.4356956,2.7448807,4.4474425,6.5800233,4.025306,5.171918,5.8003016,4.810647,4.109853,1
70,54-MFCC.csv,8.214415,7.1798115,6.104243,5.1804204,5.065887,4.181118,3.8742502,4.4547215,3.2952614,4.7259507,6.1984916,4.091067,5.3310823,5.674569,4.60265,4.0588803,3
71,55-MFCC.csv,8.06525,6.921169,5.952552,5.469972,5.2015266,4.3501725,3.8616383,4.5970874,3.1659484,5.053349,6.293446,4.0586524,5.1015587,5.4496965,4.2573004,4.105851,3
72,56-MFCC.csv,8.876881,7.484467,6.5539684,4.7821584,5.015047,4.029565,3.0593195,3.7964423,2.9030437,4.2842183,6.5565524,4.5495853,6.299754,6.241107,4.6334233,3.9800892,4
73,57-MFCC.csv,8.143064,7.1856008,5.976508,5.2834086,4.974291,4.1511,3.8357506,4.3888345,3.1881735,4.8444805,6.151037,4.2160077,5.128839,5.928089,4.460788,4.432141,3
74,58-MFCC.csv,7.94366,7.0617113,5.8884754,5.3211727,5.0089564,4.3121505,4.1037593,4.787608,3.3721237,4.8699036,6.22005,4.134404,5.0114164,5.835002,4.507453,4.3806443,3
75,59-MFCC.csv,7.9191527,6.8383293,4.596585,4.429255,5.5682907,4.523824,5.2640805,7.0809946,3.4106505,5.3067136,6.0042953,4.1036153,3.6150153,6.265113,5.183954,4.552893,2
76,60-MFCC.csv,8.3824215,7.2063055,5.8942313,4.8776674,5.13937,4.2340684,4.0001163,4.7667494,3.2111723,4.7098594,6.2416573,4.2592463,5.2691293,6.137552,4.7393847,4.2192235,5
77,61-MFCC.csv,7.564275,6.612876,5.1804175,5.4827905,5.6223664,4.5560155,4.67368,5.8783393,2.820912,5.1424932,6.451133,4.119388,4.3896456,5.9562216,4.6986494,4.586396,0
78,62-MFCC.csv,8.678646,7.3339467,6.5761867,4.947486,5.2115555,4.0556993,3.2414691,3.8246713,2.8669796,4.2271395,6.6014786,4.4823527,6.292983,6.1773334,4.786964,3.8744373,4
79,63-MFCC.csv,7.9404764,6.8762755,4.5171847,4.1386476,5.4301157,4.742721,5.2267103,7.381751,3.534809,5.3080416,5.9685965,4.0175633,3.680881,6.4312887,5.062382,4.720186,2
80,64-MFCC.csv,7.964425,6.918766,6.205268,5.0189176,5.406772,4.375802,3.928357,4.875298,2.9682436,4.3523297,6.7943177,4.238893,5.8026366,5.9129944,4.780274,3.7305927,1
81,65-MFCC.csv,8.198952,7.139974,5.791696,5.1003265,4.9995666,4.267617,4.0647206,4.846632,3.295293,4.96389,6.1328707,4.2293477,5.0041933,6.008917,4.462461,4.4937763,3
82,66-MFCC.csv,8.063859,6.972756,4.831803,4.3591437,5.4695535,4.780303,4.804942,6.5436277,3.322945,5.025309,6.044547,4.1629663,4.1517186,6.458659,5.0420675,4.6173315,2
83,67-MFCC.csv,7.9454393,6.9300737,4.7758703,4.5513153,5.556885,4.6790547,4.908512,6.6164274,3.1998138,5.0499406,6.1393228,4.1659184,4.008688,6.383013,5.11993,4.5973372,2
84,68-MFCC.csv,8.0810175,7.0619335,5.9518685,5.356814,5.0452733,4.2812653,3.9464798,4.603976,3.3294697,4.969265,6.14876,4.0238667,5.035233,5.4887247,4.372909,4.163017,3
85,69-MFCC.csv,7.630454,6.82839,6.022977,5.617931,5.655148,4.3574414,3.9284694,4.5666447,2.7969582,4.39234,6.636673,4.015309,5.26595,5.8342476,4.839089,4.0194964,1
86,70-MFCC.csv,8.014855,7.0217257,6.480364,5.27709,5.432209,4.1379867,3.6417,4.3628607,2.8405502,4.2237144,6.7339478,4.095813,6.013733,5.9547334,4.783387,3.679175,1
87,71-MFCC.csv,8.031666,7.0408897,5.9044,5.1828,5.004034,4.3418984,4.1095195,4.9316244,3.4350433,4.9416623,6.2018538,4.0527625,5.062138,5.5900383,4.4622955,4.127431,3
88,72-MFCC.csv,8.855837,7.571996,6.5035973,4.674955,4.8546615,3.9906254,3.2677698,3.700935,3.1116452,4.3299327,6.4709115,4.614496,6.233288,6.1724114,4.718729,3.9918702,4
89,73-MFCC.csv,8.208635,6.9674315,6.606774,5.165834,5.2177997,4.315498,3.7366226,4.5812774,3.0152712,4.233265,6.812654,4.3214893,6.117265,5.9177065,4.5637455,3.6449902,1
90,74-MFCC.csv,8.081336,7.0005665,6.3952723,5.429485,5.742173,4.092951,3.5738246,4.2071614,2.644702,4.151645,6.713386,4.0156674,5.8973904,6.059571,4.943995,3.7952635,1
91,75-MFCC.csv,7.4057627,6.4207816,4.7931943,5.4790883,5.856007,4.7270584,4.579887,6.0737314,2.7296412,5.257393,6.3401437,4.0710063,4.0409155,5.9564977,4.749535,4.846246,0
92,76-MFCC.csv,8.137152,7.047815,6.3525014,5.068507,5.3246937,4.4296746,3.4907973,4.1729174,2.8909593,4.287451,6.884349,4.4808173,6.074269,5.793971,4.7906966,3.7561076,1
93,77-MFCC.csv,9.057727,7.4884105,6.561986,4.730241,4.948359,3.9976418,3.0760903,3.5742416,3.0252771,4.441583,6.5432086,4.562504,6.384095,6.1418576,4.580965,3.9808872,4
