Filename,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15
43-MFCC.csv,8.656022,5.2289186,4.61641,4.103629,7.5923476,2.3951716,8.529413,6.0179524,5.100575,6.1969967,4.0871224,5.101506,3.4274006,8.946925,9.247357
44-MFCC.csv,7.7501187,5.2354207,5.499839,3.9745586,8.260377,2.2690084,8.239364,5.384112,5.1255527,6.293645,3.9594922,4.6783967,3.7032247,8.269712,8.851989
45-MFCC.csv,6.2148128,6.2654886,5.245977,4.5079446,8.496089,4.109625,8.417877,4.808969,4.4971824,6.4317694,4.541332,5.811934,4.384579,8.205754,8.599113
46-MFCC.csv,6.1132116,6.916127,5.506305,5.1849394,8.746178,4.87089,9.179219,5.255448,4.797747,5.5281553,4.511869,6.0514913,4.42121,8.989987,8.953953
47-MFCC.csv,7.9909406,5.380145,4.994022,4.113864,7.6468725,2.4346278,8.407361,5.640391,5.0134706,6.2351623,4.0265603,4.816848,3.5738683,8.716891,8.950068
48-MFCC.csv,7.9909,5.378893,4.9080815,4.214457,7.69054,3.0707061,8.366822,5.9405036,5.031685,6.3505135,4.378229,5.4506173,3.6368124,8.884849,9.210653
49-MFCC.csv,8.168189,5.1660914,4.88746,4.1925945,7.825455,2.1784089,8.45008,5.8466086,5.1832767,6.1498528,4.0723624,4.9293385,3.3693817,8.734357,9.0241585
50-MFCC.csv,5.9809046,6.810296,5.2884755,5.1095376,8.67189,4.8148537,9.050457,5.2263684,4.554051,5.845703,4.5124073,6.081157,4.4417353,8.909989,8.7818985
51-MFCC.csv,5.986089,7.0703335,5.7204447,5.263509,8.857636,5.0167227,9.362989,4.993304,4.9433975,5.2483582,4.5214906,6.0874796,4.4139156,9.082745,9.018258
52-MFCC.csv,8.132739,5.457582,4.8907113,4.5198417,8.158374,2.2014067,8.696993,5.9105015,4.9414463,5.9550667,3.927531,4.7774014,3.5510669,8.922439,9.092139
53-MFCC.csv,7.7561226,5.429953,5.4753456,3.8509848,8.221644,2.796478,8.224549,5.3231144,4.942926,6.4538946,4.041568,5.025396,3.993318,8.2888775,9.076402
54-MFCC.csv,7.8862505,5.6428027,5.2363076,4.3011527,8.028717,3.0629811,8.484844,5.838311,4.9835706,6.1401644,4.151015,5.4949393,3.7753825,8.797876,9.19246
