,Filename,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15,UMAP_16,UMAP_17,UMAP_18,UMAP_19,UMAP_20,cluster
49,33-MFCC.csv,7.0323987,4.9848228,6.624404,8.272679,4.245077,4.1320877,7.1308265,9.082523,7.9020457,3.5300632,4.4988246,4.747695,5.308722,5.2116,2.428164,7.3294663,7.019256,4.774504,4.866559,6.308333,5
50,34-MFCC.csv,6.2936454,5.410162,5.8152676,7.628939,4.5005445,3.7588992,7.4148192,8.364837,7.732605,3.876926,5.5771112,4.9134007,4.4128113,5.0430765,1.4223883,6.8195524,6.5227494,5.922139,4.7895393,6.4865828,4
51,35-MFCC.csv,5.5605946,5.4734373,4.7089076,6.7018723,4.588578,3.8484251,6.6273623,7.496974,7.359027,4.5801725,5.624963,5.1616316,3.9237409,4.7937098,1.7697333,6.1982574,6.358141,6.6049895,4.9705243,6.0048623,0
52,36-MFCC.csv,6.5001683,5.2297006,5.9033484,7.7578316,4.4265585,3.9703407,6.772979,8.3242445,7.4260874,4.051644,4.9805145,4.860756,4.470127,5.3191023,2.0289931,7.111947,6.77986,5.730168,5.0368085,6.311882,2
53,37-MFCC.csv,6.399311,5.3476715,5.8666224,7.724656,4.463945,3.8808262,7.2101088,8.374019,7.628891,3.8840802,5.330843,4.8629327,4.4869547,5.180968,1.6357317,6.951775,6.5994673,5.823166,4.852834,6.4613237,2
54,38-MFCC.csv,7.063414,5.1475816,6.6508617,8.356007,4.3949537,3.937493,7.5358315,9.090833,8.151152,3.5026805,4.7359405,4.7585177,5.2374506,5.2988663,2.3662436,7.4109206,6.5117826,4.9608083,4.773804,6.5122075,5
55,39-MFCC.csv,6.9073834,4.9951653,6.529897,8.164539,4.305723,3.8844953,7.361462,8.895611,8.007059,3.5922804,4.7181993,4.686383,5.079293,5.2852435,2.1669612,7.3300767,6.6818967,5.023161,4.7922864,6.5323935,5
56,40-MFCC.csv,6.699791,5.099224,6.1828613,7.9352155,4.374633,3.9376452,6.63489,8.520582,7.453381,4.0947003,4.7016954,4.8645124,4.6072373,5.3908496,2.330577,7.3197017,7.0194726,5.461631,5.1151896,6.164416,5
57,41-MFCC.csv,6.9626646,5.091202,6.586196,8.235884,4.26462,4.1336026,7.37613,9.006021,8.081351,3.4560714,4.6397653,4.761637,5.308819,5.242752,2.149416,7.326436,6.63461,4.88531,4.758079,6.4979334,5
58,42-MFCC.csv,6.979289,5.10777,6.5275564,8.183551,4.2801743,4.0515866,7.132863,8.967661,7.891513,3.640907,4.717043,4.7381177,4.9691124,5.5269184,2.0904353,7.402321,6.9250546,4.912811,4.784613,6.247618,5
59,43-MFCC.csv,6.78175,5.0976324,6.3455877,8.119497,4.274308,3.9932504,7.3689365,8.806965,7.9381957,3.4804792,4.812713,4.768284,5.087459,5.12389,2.0120864,7.205424,6.5682373,5.2662334,4.810315,6.5509853,5
60,44-MFCC.csv,6.791311,5.2587104,6.396159,7.7861824,4.38578,3.3904078,7.4794793,8.731451,8.037946,4.3386755,5.716684,4.9614882,4.090788,5.519069,1.4839734,7.263138,7.0826902,5.1469812,4.4934354,6.352632,4
61,45-MFCC.csv,5.6245937,5.48015,4.7610474,6.840693,4.573799,3.8548672,6.5974097,7.4721346,7.116629,4.6362753,5.5249376,5.2070665,3.785895,4.866681,1.7963811,6.347119,6.4992924,6.7112675,5.0452585,5.9149876,0
62,46-MFCC.csv,5.8793197,5.1433253,4.973559,7.3706694,4.646569,3.8251388,5.980296,7.419673,6.469275,4.6775966,4.9445863,5.1955867,3.97108,4.9667525,2.091097,6.721749,6.8115606,7.129449,5.7438693,6.0673604,3
63,47-MFCC.csv,6.7318354,5.2115755,6.343991,7.9123607,4.4233313,3.7188485,7.2685156,8.802541,8.12383,4.1876783,5.296866,5.083203,4.64244,5.417623,1.8620858,7.1781845,6.7030835,5.255701,4.671442,6.251326,1
64,48-MFCC.csv,6.5567856,5.2640877,6.012368,7.8543415,4.394806,4.1268306,7.121821,8.542194,7.6115837,3.6647525,5.0097523,4.840538,4.7936873,5.087856,1.9189693,7.029883,6.689164,5.5441103,4.918007,6.393784,2
65,49-MFCC.csv,6.836245,5.0651865,6.4422746,8.013192,4.2633147,3.7637823,7.3061547,8.769948,7.9933233,3.8071632,4.9942846,4.7731276,4.660367,5.426799,1.9040567,7.353059,6.762408,5.0779195,4.63016,6.507788,1
66,50-MFCC.csv,5.739859,5.2503276,4.954614,7.1346307,4.546696,3.5046768,5.9011965,7.522699,6.642701,4.6744885,5.0778127,5.106242,3.7397695,4.8780737,2.1029515,6.5454535,6.935718,7.170463,5.9365196,5.867595,3
67,51-MFCC.csv,5.758659,5.205492,4.8106675,7.216158,4.759984,3.7924705,5.5190763,7.384938,6.0525484,4.7981296,4.962419,5.4265933,3.7577577,4.7524886,2.1650455,6.5264864,6.8006186,7.5541415,5.96841,5.874199,3
68,52-MFCC.csv,6.7545247,4.8305087,6.431828,7.9925437,4.291537,3.385505,7.2071853,8.739602,8.079631,4.2086635,5.030594,4.841064,4.6745877,5.546767,2.040144,7.2810564,6.8968806,5.343108,4.775563,6.3601604,1
69,53-MFCC.csv,6.4951477,5.4144316,6.04385,7.684031,4.478681,3.5327208,7.4161177,8.503937,7.9304075,4.250332,5.7876987,5.0116687,4.1516094,5.393187,1.32424,7.041363,6.69756,5.6269403,4.593273,6.3668013,4
70,54-MFCC.csv,6.482346,5.285438,5.9729533,7.8803024,4.4168596,3.8958485,7.135398,8.405289,7.60119,3.7556393,5.038656,4.7098985,4.6146,5.3181615,1.788897,7.073692,6.5267053,5.788932,4.9203105,6.574638,2
71,55-MFCC.csv,6.2225003,5.1526327,5.759815,7.656908,4.4473987,3.5888388,7.283616,8.242243,7.663851,3.89131,5.2986994,4.821789,4.5355363,5.0641255,1.5929865,6.834974,6.4623003,6.146181,4.9732914,6.506824,2
72,56-MFCC.csv,7.0055876,4.960003,6.634044,8.201973,4.1867967,4.063272,7.001144,9.013512,7.959167,3.7520323,4.5299764,4.829095,5.1732264,5.3180304,2.3774624,7.3692565,7.087409,4.764296,4.797129,6.276918,5
73,57-MFCC.csv,6.4054337,5.3476934,5.80543,7.700906,4.450292,4.160235,7.0615115,8.372816,7.485552,3.7351837,5.1426353,4.8842525,4.6430807,5.002043,1.8460566,6.9052186,6.6417856,5.752928,4.9527936,6.3870807,2
74,58-MFCC.csv,6.284311,5.3765473,5.628407,7.6330347,4.480076,3.9978616,6.914358,8.163835,7.3805213,3.9738057,5.18455,4.901977,4.418628,5.1370115,1.7786771,6.8865247,6.5850925,6.0470757,5.006469,6.3972783,2
75,59-MFCC.csv,5.793258,5.1496005,4.8271923,7.31995,4.677657,3.8482385,5.8249207,7.2879252,6.300648,4.78646,4.960855,5.2527757,3.886779,4.850426,2.093686,6.646845,6.889914,7.2965517,5.892637,5.9992623,3
76,60-MFCC.csv,6.416622,5.220962,5.755718,7.5999494,4.4439325,3.94771,6.6470747,8.188726,7.3819957,4.254765,5.072332,4.95157,4.304649,5.3274007,2.0311441,7.0457506,6.7788363,5.8138065,5.0373774,6.236199,2
77,61-MFCC.csv,5.6040344,5.4613504,4.753916,6.851132,4.6371984,3.9765894,6.768295,7.512459,7.3454566,4.64259,5.4730067,5.26126,3.866885,5.01042,1.819218,6.421998,6.3080425,6.473087,4.728036,6.0085444,0
78,62-MFCC.csv,7.0030055,5.0182214,6.5990686,8.143167,4.2401137,3.9159167,7.106562,8.957784,7.937321,3.818476,4.776995,4.7600265,4.843036,5.552693,2.1347084,7.4474487,7.0691047,4.820854,4.7075553,6.2776084,5
79,63-MFCC.csv,5.8236413,5.119383,4.8034763,7.3186264,4.7286134,3.738377,5.682686,7.169013,6.1395154,4.8373723,4.8754683,5.300073,3.7889714,4.9061155,2.1473827,6.707876,6.9330626,7.403543,6.0076184,5.959151,3
80,64-MFCC.csv,6.6658397,5.0453606,6.289631,7.9121475,4.382123,3.3406126,7.0469112,8.5870285,8.047657,4.4720144,5.1103377,4.939567,4.459807,5.8206525,1.961872,7.3018565,6.617586,5.526678,4.770359,6.2769785,1
81,65-MFCC.csv,6.209305,5.2086663,5.6061654,7.6063275,4.463757,3.8901477,6.8386807,8.126432,7.342093,3.9541159,5.013582,4.889793,4.5523596,5.010959,1.9580595,6.8412085,6.575944,6.195029,5.1928673,6.320673,2
82,66-MFCC.csv,5.90001,5.170978,5.0952077,7.2504497,4.634748,3.6155417,5.999552,7.5397444,6.688655,4.638757,4.990325,5.1704755,3.8639603,5.00819,2.1249146,6.7308993,6.8447623,6.964318,5.755327,5.981859,3
83,67-MFCC.csv,5.782311,5.2178435,4.9750304,7.1047163,4.6776357,3.6651502,5.9709306,7.417794,6.6204953,4.710659,5.089212,5.2499027,3.7677517,4.9327836,2.0912797,6.6347713,6.791505,7.0461807,5.6853952,5.929657,3
84,68-MFCC.csv,6.249378,5.2603016,5.8063097,7.756671,4.4713645,3.6570113,7.2529826,8.252171,7.6200433,3.7970977,5.168711,4.6960673,4.570142,5.2129717,1.6603842,6.889836,6.370432,6.176662,4.99766,6.637576,2
85,69-MFCC.csv,6.499693,5.38062,6.0442004,7.7413716,4.4841137,3.501294,7.31314,8.48568,7.9829755,4.357667,5.655892,5.043678,4.225754,5.5342655,1.4299182,7.092973,6.57283,5.6730337,4.615059,6.334962,4
86,70-MFCC.csv,6.763109,5.0260763,6.4140997,7.9459095,4.3509955,3.5203228,7.125582,8.757308,8.086337,4.3063464,5.1860075,5.001165,4.49396,5.554674,1.9514378,7.288929,6.824233,5.255199,4.701157,6.293719,1
87,71-MFCC.csv,6.2873793,5.226578,5.8046126,7.804081,4.4503717,3.6889362,7.1315084,8.22108,7.558683,3.8227186,5.0331597,4.660632,4.585491,5.3059707,1.7430195,6.9430456,6.3644476,6.1632967,5.032631,6.6519766,2
88,72-MFCC.csv,7.0279403,5.0623612,6.5819707,8.239906,4.2718163,4.163554,7.105331,9.058345,7.836865,3.529355,4.5900292,4.703719,5.1703696,5.3500843,2.2836263,7.348823,7.0897627,4.768436,4.826735,6.2465286,5
89,73-MFCC.csv,6.828987,4.8506823,6.516501,8.049066,4.281883,3.4005508,7.1925373,8.803722,8.155563,4.2485995,4.9564896,4.8299894,4.7379184,5.6719537,2.1017838,7.348066,6.879179,5.2445173,4.729783,6.34485,1
90,74-MFCC.csv,6.8290734,5.1227655,6.457286,7.909972,4.348734,3.5162902,7.3078575,8.802153,8.078056,4.25486,5.422329,4.9527316,4.317881,5.5601892,1.7337879,7.324625,7.003608,5.1065736,4.5596156,6.317713,1
91,75-MFCC.csv,5.498166,5.5211005,4.5858984,6.570328,4.5593915,3.8653634,6.6199713,7.4338818,7.3337054,4.584721,5.7248387,5.144547,3.8923445,4.701736,1.7506502,6.077754,6.3719144,6.650887,4.9541163,5.931873,0
92,76-MFCC.csv,6.8419633,5.1031184,6.502696,8.101928,4.319108,3.5203595,7.263567,8.757859,8.152526,4.0687523,4.913835,4.7024264,4.6865005,5.9178,1.9515936,7.4416027,6.531067,5.195096,4.6048584,6.491114,1
93,77-MFCC.csv,7.07334,4.9351664,6.69312,8.27255,4.1913605,4.064321,7.071152,9.0922575,7.943974,3.6553042,4.5067854,4.7646337,5.2414145,5.289907,2.4406326,7.3929033,7.136054,4.690224,4.806012,6.292083,5
94,78-MFCC.csv,6.6383514,5.3735576,6.21388,7.7885666,4.442239,3.4806044,7.402003,8.630281,8.023869,4.326269,5.7916465,5.032599,4.1672497,5.5528336,1.3253757,7.1836057,6.7646055,5.4586544,4.5539994,6.3096676,4
95,79-MFCC.csv,6.952392,4.9352503,6.5440173,8.10254,4.2399487,3.9071155,6.9275937,8.8753805,7.8170104,3.9244492,4.6701035,4.8157706,4.843376,5.409567,2.3340602,7.4177127,7.1592793,4.920813,4.847178,6.239054,5
96,80-MFCC.csv,6.0133195,5.133186,5.208881,7.3803067,4.6383724,3.6326501,6.0369263,7.6203585,6.732948,4.5948143,4.906328,5.159217,3.9579215,5.0970187,2.1641452,6.8401475,6.857039,6.855651,5.724666,6.033762,3
97,81-MFCC.csv,5.528784,5.4962173,4.6543446,6.650355,4.5566115,3.802904,6.4738307,7.4478717,7.0685334,4.6312304,5.6757874,5.1895366,3.751468,4.683516,1.7496215,6.1197705,6.592182,6.8101983,5.198199,5.8422494,0
98,82-MFCC.csv,6.135905,5.139134,5.4229608,7.502575,4.5875864,3.651012,6.175847,7.799248,6.9128222,4.5142183,4.861687,5.081516,4.0964003,5.18464,2.1992188,6.9560695,6.834673,6.6012645,5.613947,6.065229,3
99,83-MFCC.csv,5.7451954,5.210222,4.856487,7.088999,4.5964866,3.573122,5.9835644,7.487759,6.668406,4.6365814,5.1132083,5.144674,3.761705,4.8422537,2.023172,6.525677,6.875032,7.161809,5.8814325,5.9416285,3
100,84-MFCC.csv,5.8222914,5.1278963,4.7819877,7.292918,4.766261,3.7282937,5.5342493,7.3404818,6.0792756,4.7859874,4.935329,5.4100375,3.7531462,4.7570753,2.1031573,6.54131,6.925961,7.5893955,6.096938,5.961357,3
101,85-MFCC.csv,6.8747067,5.0812945,6.435472,8.1824465,4.2717686,4.170625,7.227481,8.916337,7.868643,3.4172168,4.6241126,4.735021,5.2411776,5.146566,2.16166,7.2385507,6.742404,5.0608954,4.878016,6.4239674,5
102,86-MFCC.csv,6.5640373,5.3965926,6.067681,7.7004156,4.4751034,3.555349,7.217244,8.472448,7.883499,4.4206133,5.667793,5.037675,4.0718904,5.5570354,1.4915257,7.155535,6.7352953,5.544903,4.601584,6.312335,4
103,87-MFCC.csv,5.464963,5.5479236,4.4778223,6.548887,4.545127,3.956608,6.6132417,7.3799706,7.151223,4.60666,5.682203,5.188621,3.8166535,4.7231364,1.8144331,6.106026,6.4173737,6.726596,4.863262,5.7898126,0
104,88-MFCC.csv,6.2851887,5.2999487,5.8157163,7.725233,4.4663897,3.7553797,7.3621483,8.321178,7.660748,3.7384193,5.32957,4.767413,4.568253,5.0799465,1.5410914,6.8549805,6.4447002,6.0345,4.8990865,6.596982,2
105,89-MFCC.csv,6.815744,5.2256327,6.455627,8.022528,4.365212,3.5309446,7.2654877,8.748177,8.193865,4.214354,5.14512,4.8410687,4.4970818,5.928089,1.8046441,7.425606,6.514366,5.186632,4.521541,6.4084578,1
106,90-MFCC.csv,5.497253,5.6150055,4.5438538,6.574123,4.4881268,3.9291046,6.548835,7.4376626,7.068917,4.6652703,5.7421026,5.181904,3.780713,4.7151566,1.8109688,6.085399,6.5128245,6.7746005,4.939946,5.6918325,0
