Filename,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15,UMAP_16,UMAP_17,UMAP_18,UMAP_19,UMAP_20,UMAP_21,UMAP_22,UMAP_23,UMAP_24,UMAP_25,UMAP_26,UMAP_27,UMAP_28,UMAP_29,UMAP_30,UMAP_31,UMAP_32,UMAP_33,UMAP_34,UMAP_35,UMAP_36,UMAP_37,UMAP_38,UMAP_39,UMAP_40
14-MFCC.csv,7.8069544,4.86241,5.5521502,6.884741,6.9629555,4.0977464,5.159284,6.3398857,6.4634976,6.1245446,3.4535134,6.136811,5.6220527,4.903451,3.2324326,3.7669299,4.9000316,6.2020025,5.884006,5.138649,5.8355527,5.1110315,3.7935176,4.9333534,5.8592715,3.7867718,3.9800863,5.8951583,4.316574,3.6169775,4.735698,5.1083894,2.3508258,3.2762272,3.7252674,5.2062297,5.7629585,5.3393674,6.117057,4.3267117
15-MFCC.csv,7.8711686,4.7993827,5.535396,6.8945293,6.9819236,4.0109777,5.019559,6.411998,6.585332,6.1849856,3.3504555,6.1572137,5.6324425,4.9431195,3.176448,3.8587153,4.861768,6.250726,5.95236,5.1070747,5.7551346,5.027481,3.6210961,4.7146835,6.06236,3.4413776,4.0989594,5.903906,4.3155084,3.8876445,4.798231,5.286183,2.1524882,3.2413156,3.6353707,5.112168,5.6985235,5.1796966,6.1448574,4.3711476
16-MFCC.csv,6.7033787,4.824239,5.3687334,6.8238587,7.1698966,4.1060376,4.8148637,6.261319,6.5441775,6.135327,3.7770894,7.0869427,5.001337,4.8246937,2.8390582,3.8019898,4.749236,6.091154,6.379223,5.4388256,5.0157375,4.916247,3.9326644,3.844569,5.9961076,2.4031467,4.4958377,5.845167,4.526852,4.3974657,4.512711,5.6420045,2.034321,2.961336,4.176014,5.014884,5.6063094,5.852785,6.10306,4.5498576
17-MFCC.csv,6.7233567,4.7946544,5.3796573,6.777553,7.2541876,4.048779,4.807671,6.252732,6.591258,6.152631,3.7741225,7.1201606,5.0128875,4.879734,2.754277,3.840303,4.6971397,6.102481,6.3868995,5.442986,4.952254,4.923673,3.9205096,3.7482376,6.0278482,2.3464854,4.5475383,5.81519,4.5320845,4.4988594,4.475478,5.683935,1.9515806,2.9711585,4.17292,4.96187,5.6021776,5.8352532,6.08732,4.6050167
18-MFCC.csv,6.8223696,4.652548,5.645137,6.4125695,7.506858,3.6977882,4.814082,6.237153,6.482693,6.51533,3.2743793,6.869102,5.464151,5.2189107,2.5996058,4.2405443,4.433671,5.994836,5.911983,5.1013594,5.155848,5.2633605,3.603356,3.6506233,6.450391,1.9426429,4.7096806,5.4675107,4.427762,4.920038,4.599964,5.945527,1.646681,3.492103,3.6286623,4.749086,5.7845345,5.190745,5.6531067,4.9151564
19-MFCC.csv,8.278164,4.8804173,5.4855537,7.09977,6.730794,4.163448,4.978291,6.529483,6.657733,6.0176835,3.3837528,6.0252666,5.5442495,4.6975517,3.5019608,3.7069883,5.02695,6.177789,5.9103575,5.114109,5.9128118,4.826075,3.504733,4.983176,6.000154,3.6542785,4.0551896,6.0269275,4.373425,3.7113333,4.9267898,5.2394423,2.1592999,2.9568143,3.79485,5.145137,5.62189,5.145498,6.329717,4.068285
20-MFCC.csv,7.683128,5.107694,5.222892,7.153116,6.648315,4.45947,5.0991397,6.5293174,6.3874087,5.9216833,3.714071,6.2148385,5.112446,4.4564776,3.6974432,3.5050962,5.130591,6.082451,6.0181103,5.2616367,5.8130484,4.6809487,3.6603308,4.8911505,5.948104,3.4990509,4.223093,5.9608965,4.644325,3.781258,5.0362124,5.257723,2.4681475,2.8372734,3.936482,5.3601103,5.6366415,5.576298,6.304233,4.1148734
21-MFCC.csv,7.74598,4.840287,5.625502,6.7861156,7.0919857,4.0051847,5.1248674,6.398852,6.533873,6.1763983,3.3727083,6.196731,5.597979,4.994778,3.1787553,3.8527718,4.7730002,6.2709265,5.8198886,5.1418233,5.867044,5.2235093,3.771037,4.7831793,5.923878,3.601126,3.98253,5.819679,4.324794,3.7203596,4.6909976,5.132711,2.3758678,3.341831,3.7318313,5.1311116,5.901819,5.346557,6.0482,4.439671
22-MFCC.csv,7.834772,4.8877945,5.630383,6.941628,6.97078,4.014341,4.993338,6.3680744,6.630379,6.2256565,3.3491294,6.2412305,5.5602303,4.883727,3.1075108,3.900776,4.8553734,6.2118587,5.972134,5.164674,5.8132634,5.043591,3.703874,4.711066,5.98303,3.5341897,3.9106498,5.9222603,4.2467685,3.632306,4.6929493,5.0813,2.3691487,3.2164671,3.8355594,5.1074753,5.8521256,5.320053,6.1473446,4.3177543
23-MFCC.csv,8.040893,4.655125,5.4773407,6.6529937,7.0559907,3.840018,5.1632032,6.4574633,6.5122657,6.1754036,3.2756362,5.972281,5.8128276,5.0222387,3.2360241,3.803978,4.819266,6.2619257,5.6731877,4.9180717,5.819568,5.256273,3.4669414,4.686649,6.2120104,3.320081,4.4179587,5.726194,4.38592,4.243265,5.0092807,5.538261,1.9084197,3.2639532,3.2580051,5.0975113,5.55773,4.87352,6.0273094,4.4516616
